molecular class	DOID	disease name	clinic classification
C1	DOID:1759	American histoplasmosis	Certain_infectious_and_parasitic_diseases
C1	DOID:11750	Bordetella parapertussis whooping cough	Certain_infectious_and_parasitic_diseases
C1	DOID:11254	Brill-Zinsser disease	Certain_infectious_and_parasitic_diseases
C1	DOID:14457	Brucella abortus brucellosis	Certain_infectious_and_parasitic_diseases
C1	DOID:14019	Brucella canis brucellosis	Certain_infectious_and_parasitic_diseases
C1	DOID:14456	Brucella melitensis brucellosis	Certain_infectious_and_parasitic_diseases
C1	DOID:0050456	Buruli ulcer disease	Certain_infectious_and_parasitic_diseases
C1	DOID:12140	Chagas disease	Certain_infectious_and_parasitic_diseases
C1	DOID:0060185	Clostridium difficile colitis	Certain_infectious_and_parasitic_diseases
C1	DOID:4885	Colorado tick fever	Certain_infectious_and_parasitic_diseases
C1	DOID:11949	Creutzfeldt-Jakob disease	Certain_infectious_and_parasitic_diseases
C1	DOID:12287	Crimean-Congo hemorrhagic fever	Certain_infectious_and_parasitic_diseases
C1	DOID:11723	Duchenne muscular dystrophy	Diseases_of_the_nervous_system
C1	DOID:10841	Eastern equine encephalitis	Certain_infectious_and_parasitic_diseases
C1	DOID:4325	Ebola hemorrhagic fever	Certain_infectious_and_parasitic_diseases
C1	DOID:4249	Gerstmann-Straussler-Scheinker syndrome	Certain_infectious_and_parasitic_diseases
C1	DOID:11266	Hantavirus hemorrhagic fever with renal syndrome	Certain_infectious_and_parasitic_diseases
C1	DOID:13238	Haverhill fever	Certain_infectious_and_parasitic_diseases
C1	DOID:10487	Hirschsprung's disease	Congenital_malformations,_deformations_and_chromosomal_abnormalities
C1	DOID:10844	Japanese encephalitis	Certain_infectious_and_parasitic_diseases
C1	DOID:11320	Kyasanur forest disease	Certain_infectious_and_parasitic_diseases
C1	DOID:0050118	La Crosse encephalitis	Certain_infectious_and_parasitic_diseases
C1	DOID:7146	Langerhans cell sarcoma	Neoplasms
C1	DOID:9537	Lassa fever	Certain_infectious_and_parasitic_diseases
C1	DOID:10457	Legionnaires' disease	Certain_infectious_and_parasitic_diseases
C1	DOID:11337	Lemierre's syndrome	Diseases_of_the_circulatory_system
C1	DOID:11729	Lyme disease	Certain_infectious_and_parasitic_diseases
C1	DOID:4327	Marburg hemorrhagic fever	Certain_infectious_and_parasitic_diseases
